iter	Passed	Remaining
471	685	766
472	686	765
473	687	763
474	689	761
475	690	759
476	691	757
477	692	755
478	693	753
479	694	752
480	695	750
481	696	748
482	697	746
483	698	744
484	699	742
485	700	740
486	701	738
487	702	737
488	703	735
489	704	733
490	705	731
491	706	729
492	707	727
493	708	725
494	710	725
495	711	723
496	713	721
497	714	719
498	715	718
499	716	716
500	717	714
501	718	712
502	719	710
503	720	708
504	721	706
505	722	705
506	723	703
507	724	702
508	726	700
509	727	698
510	728	696
511	729	695
512	730	693
513	731	691
514	732	690
515	733	688
516	734	686
517	735	684
518	736	682
519	738	681
520	739	679
521	740	678
522	741	676
523	743	675
524	744	673
525	745	671
526	746	670
527	747	668
528	748	666
529	749	664
530	750	662
531	751	660
532	752	659
533	753	657
534	754	656
535	755	654
536	756	652
537	757	650
538	758	648
539	759	646
540	760	645
541	761	643
542	762	641
543	763	640
544	764	638
545	765	636
546	767	635
547	768	634
548	770	632
549	771	631
550	772	629
551	773	627
552	774	625
553	775	624
554	776	622
555	776	620
556	777	618
557	778	616
558	779	615
559	780	613
560	781	611
561	782	610
562	783	608
563	785	606
564	786	605
565	787	603
566	788	602
567	789	600
568	790	598
569	791	597
570	792	595
571	793	593
572	794	591
573	795	590
574	796	588
575	797	587
576	798	585
577	799	583
578	800	581
579	801	580
580	802	578
581	802	576
582	803	574
583	804	573
584	805	571
585	806	569
586	807	567
587	808	566
588	809	564
589	810	562
590	811	561
591	812	559
592	813	558
593	814	556
594	815	555
595	816	553
596	817	551
597	818	550
598	819	548
599	819	546
600	820	544
601	821	543
602	822	541
603	823	539
604	824	538
605	826	537
606	826	535
607	827	533
608	828	532
609	829	530
610	830	528
611	831	527
612	832	525
613	833	524
614	834	522
615	835	520
616	836	519
617	836	517
618	837	515
619	838	514
620	840	512
621	841	511
622	842	509
623	843	508
624	844	506
625	845	505
626	846	503
627	847	501
628	847	500
629	848	498
630	849	496
631	850	495
632	851	493
633	852	492
634	853	490
635	854	489
636	855	487
637	856	486
638	857	484
639	858	483
640	859	481
641	860	479
642	861	478
643	862	476
644	863	475
645	864	473
646	865	472
647	866	470
648	867	468
649	868	467
650	870	466
651	871	465
652	872	463
653	874	462
654	876	461
655	877	460
656	879	458
657	880	457
658	885	457
659	886	456
660	887	455
661	888	453
662	892	453
663	893	452
664	894	450
665	896	449
666	902	450
667	907	450
668	909	450
669	910	448
670	914	448
671	916	447
672	917	445
673	918	444
674	919	442
675	920	441
676	921	439
677	923	438
678	924	436
679	926	435
680	927	434
681	928	433
682	930	431
683	931	430
684	933	429
685	935	428
686	936	426
687	937	425
688	939	423
689	940	422
690	941	421
691	945	420
692	946	419
693	947	417
694	948	416
695	949	414
696	951	413
697	952	411
698	952	410
699	953	408
700	956	408
701	959	407
702	960	405
703	961	404
704	963	403
705	964	401
706	965	400
707	966	398
708	967	396
709	968	395
710	969	394
711	971	392
712	972	391
713	973	390
714	974	388
715	975	387
716	976	385
717	977	383
718	978	382
719	979	380
720	980	379
721	981	377
722	982	376
723	983	374
724	985	373
725	987	372
726	988	371
727	989	369
728	990	368
729	992	366
730	993	365
731	994	364
732	995	362
733	996	361
734	997	359
735	998	358
736	999	356
737	1002	355
738	1003	354
739	1004	353
740	1006	351
741	1007	350
742	1008	348
743	1009	347
744	1009	345
745	1010	344
746	1012	342
747	1013	341
748	1014	340
749	1016	338
750	1018	337
751	1019	336
752	1021	334
753	1021	333
754	1022	331
755	1023	330
756	1024	328
757	1025	327
758	1026	325
759	1027	324
760	1028	323
761	1030	321
762	1031	320
763	1031	318
764	1032	317
765	1033	315
766	1034	314
767	1035	312
768	1036	311
769	1037	309
770	1037	308
771	1038	306
772	1039	305
773	1041	303
774	1042	302
775	1043	301
776	1044	299
777	1046	298
778	1047	297
779	1048	295
780	1049	294
781	1050	292
782	1050	291
783	1051	289
784	1052	288
785	1053	286
786	1054	285
787	1055	283
788	1056	282
789	1057	281
790	1058	279
791	1059	278
792	1060	276
793	1060	275
794	1061	273
795	1062	272
796	1063	270
797	1064	269
798	1065	268
799	1066	266
800	1067	265
801	1068	263
802	1068	262
803	1070	260
804	1071	259
805	1072	258
806	1073	256
807	1074	255
808	1075	253
809	1076	252
810	1077	251
811	1078	249
812	1079	248
813	1080	246
814	1081	245
815	1082	244
816	1083	242
817	1084	241
818	1085	239
819	1086	238
820	1087	237
821	1088	235
822	1089	234
823	1090	233
824	1091	231
825	1092	230
826	1093	228
827	1094	227
828	1095	225
829	1096	224
830	1097	223
831	1098	221
832	1100	220
833	1101	219
834	1102	217
835	1103	216
836	1104	215
837	1105	213
838	1106	212
839	1107	210
840	1108	209
841	1109	208
842	1110	206
843	1111	205
844	1112	204
845	1114	202
846	1115	201
847	1117	200
848	1118	198
849	1119	197
850	1120	196
851	1121	194
852	1122	193
853	1123	192
854	1124	190
855	1125	189
856	1126	188
857	1128	186
858	1129	185
859	1130	183
860	1131	182
861	1132	181
862	1133	179
863	1134	178
864	1135	177
865	1136	175
866	1137	174
867	1138	173
868	1139	171
869	1140	170
870	1141	169
871	1143	167
872	1145	166
873	1147	165
874	1148	164
875	1150	162
876	1151	161
877	1152	160
878	1153	158
879	1154	157
880	1155	156
881	1156	154
882	1157	153
883	1158	152
884	1159	150
885	1160	149
886	1161	148
887	1162	146
888	1163	145
889	1164	143
890	1165	142
891	1166	141
892	1168	139
893	1169	138
894	1170	137
895	1172	136
896	1173	134
897	1174	133
898	1175	132
899	1176	130
900	1177	129
901	1178	128
902	1179	126
903	1180	125
904	1181	123
905	1182	122
906	1183	121
907	1184	119
908	1185	118
909	1186	117
910	1188	116
911	1189	114
912	1190	113
913	1192	112
914	1193	110
915	1194	109
916	1195	108
917	1196	106
918	1197	105
919	1198	104
920	1199	102
921	1200	101
922	1201	100
923	1202	98
924	1202	97
925	1203	96
926	1204	94
927	1205	93
928	1206	92
929	1207	90
930	1208	89
931	1209	88
932	1211	86
933	1212	85
934	1213	84
935	1214	83
936	1215	81
937	1216	80
938	1218	79
939	1219	77
940	1220	76
941	1221	75
942	1222	73
943	1223	72
944	1224	71
945	1225	69
946	1226	68
947	1227	67
948	1228	66
949	1230	64
950	1231	63
951	1232	62
952	1233	60
953	1234	59
954	1235	58
955	1236	56
956	1237	55
957	1238	54
958	1239	52
959	1240	51
960	1241	50
961	1242	49
962	1243	47
963	1244	46
964	1246	45
965	1247	43
966	1248	42
967	1249	41
968	1250	40
969	1251	38
970	1252	37
971	1253	36
972	1255	34
973	1255	33
974	1257	32
975	1258	30
976	1259	29
977	1260	28
978	1261	27
979	1262	25
980	1263	24
981	1264	23
982	1265	21
983	1266	20
984	1266	19
985	1267	18
986	1268	16
987	1269	15
988	1270	14
989	1271	12
990	1272	11
991	1273	10
992	1274	8
993	1275	7
994	1276	6
995	1277	5
996	1278	3
997	1279	2
998	1280	1
999	1281	0
